Name,Team,Position,Height,Weight,Hands,Arm,Span,40yd,10yd,Shuttle,Vertical,Broad,Three Cone,NormHeight,NormWeight,NormHands,NormArm,NormSpan,AVG_Physical,Norm40,Norm10,NormShuttle,NormVert,NormBroad,NormThreeCone,AVG_SpeedAcceleration,AVG_AgilityExplosiveness,RECV,DROP,FUM,normRecV,normDrop,normFum,AVG_Hands,YAC/REC,Y/RR,aDoT,Drop %,CTC %,RTG,SOS,normYAC,normYRR,normDrop,normCTC,normADOT,,normSOS,NormBuild,NormAthletics,NormPhysical,NormSpeed,NormExplosive,NormAgility,,AV+XFP/RR,PFF,normAVXFPRR,normPFF,normAVG,AvgPerf,FINAL_PERM,OtherPerm,DYAR,DVOA,Catch %,normDYAR,normDVOA,normCatch%,RR,RR_2022,RR_2023,Yards,Yards_2022,Yards_2023,YPRR,normYPRR,AV,AV/RR,YAC/R,normYAC,YPTOE,normYPTOE,normXFPRR,XFP/RR
Christian Watson,NDSU,WR,76,205,10.25,32.5,78.125,4.36,1.48,4.22,38.5,136,6.93,0.900,0.563,0.900,0.652,0.652,,0.800,0.850,0.5,0.8,0.92,0.5,,,,,,,-0.800,-0.417,,,,,,,,,-0.235,-0.565,1.000,,-0.3,0.01,0.516,0.7,0.729,0.733,0.820,0.835,0.526,,,74.19,,,,,,0.820,99.42,7.41,58.47,,,,483,270,298,1033,611,442,4.27,1.054,11,0.57,5.39,0.585,-0.45,0.517,0.645,0.5
Treylon Burks,ARKN,WR,73,225,9,33.5,79.25,4.55,1.62,4.45,33,122,7.28,0.600,0.813,0.400,0.826,0.732,,0.563,0.150,0.1,0.3,0.52,0.1,,,91,77.4,81.7,,0.748,0.945,,9.3,3.57,9.70,4.4,43.8,155.3,,0.859,0.987,0.725,,0.3,0.11,0.516,0.7,0.296,0.674,0.398,0.405,0.126,,,63,,,,,,0.613,-1.6,-15.3,58.33,,,,478,254,266,665,444,221,2.78,0.686,6,0.31,5.04,0.539,-1.15,0.439,0.403,0.35
Khalil Shakir,BOISE,WR,71,189,9.375,29.125,,4.58,,4.36,33.5,118,7.12,0.400,0.363,0.550,0.065,-4.929,,0.525,8.250,0.3,0.3,0.40,0.3,,,89.3,75,57.5,,0.700,0.542,,6.1,2.83,9.80,11.5,44.4,116,,0.482,0.665,0.281,,0.3,0.07,0.516,-0.7,1.684,-0.710,3.615,0.369,0.296,,,72.54,,,,,,0.847,173.3,38.24,77.78,,,,421,171,393,772,252,686,3.40,0.840,8,0.48,7.41,0.855,3.25,0.928,0.226,0.24
Skyy Moore,WMICH,WR,70,195,10.25,29.75,74.25,4.41,1.54,4.32,34.5,125,7.13,0.300,0.438,0.900,0.174,0.375,,0.738,0.550,0.4,0.4,0.60,0.3,,,92,76.9,88.4,,0.738,1.057,,5.7,3.46,10.60,3.2,61.5,132.2,,0.435,0.939,0.800,,0.4,0.11,0.516,0.4,0.493,0.437,0.663,0.511,0.324,,,60.43,,,,,,0.657,1.53,-11.23,62.32,,,,413,208,289,494,267,244,2.57,0.635,4,0.24,6.09,0.679,-0.6,0.500,0.339,0.31
Tyquan Thornton,BAYL,WR,73,182,8.25,32.25,75.5,4.28,1.48,4.39,36.5,130,7.25,0.600,0.275,0.100,0.609,0.464,,0.900,0.850,0.2,0.6,0.75,0.2,,,81.9,74.3,77.9,,0.686,0.882,,3.2,2.68,15.40,5.2,50,120.8,,0.141,0.600,0.675,,0.7,0.08,0.516,0.4,0.578,0.410,0.880,0.666,0.194,,,54.33,,,,,,0.354,-62.47,-37.65,53.03,,,,412,326,137,338,247,91,1.59,0.393,3,0.18,3.37,0.316,-3.6,0.167,0.339,0.31
David Bell,PURDUE,WR,73,212,9.375,31.75,76.375,4.65,1.59,4.57,33,116,7.14,0.600,0.650,0.550,0.522,0.527,,0.438,0.300,-0.1,0.3,0.35,0.3,,,87.4,77.1,81.1,,0.742,0.935,,5.8,2.7,10.70,5.1,42.3,115.3,,0.447,0.609,0.681,,0.4,0.08,0.516,0.6,0.266,0.570,0.383,0.319,0.110,,,55.06,,,,,,0.454,-11.01,-16.85,70.37,,,,406,305,158,381,214,221,2.10,0.519,3,0.18,3.92,0.389,0.1,0.578,0.161,0.2
Brandon Johnson,UCF,WR,74,195,,,,,,,,,,0.700,0.438,-3.200,-5.000,-4.929,,6.250,8.250,,,,,,,64,38.1,69.7,,-0.038,0.745,,4.1,1.46,14.20,7.3,61.5,114.6,,0.247,0.070,0.544,,0.6,0.04,0.516,-2.4,7.250,-2.398,0.500,0.500,0.500,,,59.7,,,,,,0.440,64.16,18.24,64.1,,,,309,128,217,326,42,284,1.84,0.454,3,0.24,4.2,0.427,-1.5,0.400,0.242,0.25
Jalen Tolbert,S.BAMA,WR,73,194,10,32.25,76.25,4.49,1.54,4.24,36,123,7.08,0.600,0.425,0.800,0.609,0.518,,0.638,0.550,0.5,0.5,0.55,0.4,,,85.1,59.2,62.8,,0.384,0.630,,7.1,3.16,14.20,8.9,44.4,116.9,,0.600,0.809,0.444,,0.6,0.09,0.516,0.6,0.520,0.590,0.603,0.545,0.420,,,58.38,,,,,,0.205,56,5.36,63.16,,,,288,40,300,280,12,268,1.39,0.343,3,0.26,1.5,0.067,-2.95,0.239,0.258,0.26
Jameson Williams,BAMA,WR,74,179,,,,,,,,,,0.700,0.238,-3.200,-5.000,-4.929,,6.250,8.250,,,,,,,83.4,32.9,70.7,,-0.142,0.762,,9.1,3.11,15.00,7.6,37.5,143.9,,0.835,0.787,0.525,,0.7,0.09,0.516,-2.4,7.250,-2.438,0.500,0.500,0.500,,,61.49,,,,,,0.554,-1.21,-16.19,49.02,,,,261,37,332,395,41,433,2.67,0.659,5,0.48,4.36,0.448,-2.9,0.244,0.435,0.37
Deven Thompkins,UTAHST,WR,67,167,8.125,29.5,,4.35,,4.25,38,132,,0.000,0.088,0.050,0.130,-4.929,,0.813,8.250,0.5,0.7,0.81,,,,88.9,77.8,84.4,,0.756,0.990,,4.8,3.41,16.40,4.3,41.4,109.6,,0.329,0.917,0.731,,0.8,0.11,0.516,-0.9,2.209,-0.932,3.788,0.757,0.467,,,56.35,,,,,,0.456,-80.9,-62.21,62.86,,,,159,45,141,115,32,87,1.63,0.402,1,0.16,4.82,0.509,-4,0.122,0.532,0.43
Kyle Philips,UCLA,WR,72,196,9.375,30.5,74.125,,,,,,,0.500,0.450,0.550,0.304,0.366,,6.250,8.250,,,,,,,76.6,64.1,65,,0.482,0.667,,6,2.11,9.80,9.2,33.3,104.9,,0.471,0.352,0.425,,0.3,0.05,0.516,0.4,7.250,0.434,0.500,0.500,0.500,,,69.42,,,,,,0.743,24.02,0.92,65.71,,,,145,48,111,259,78,181,3.53,0.872,3,0.52,5.61,0.615,-0.3,0.533,0.532,0.43
Velus Jones Jr.,USC,WR,72,203,9.5,31,73.5,4.31,1.47,4.48,33,120,7.12,0.500,0.538,0.600,0.391,0.321,,0.863,0.900,0.1,0.3,0.46,0.3,,,77.3,68.9,83,,0.578,0.967,,8.8,2.8,6.70,3.7,40,135.2,,0.800,0.652,0.769,,0.1,0.09,0.516,0.5,0.485,0.470,0.878,0.376,0.196,,,57.1,,,,,,0.516,5,-8.1,57.89,,,,118,71,54,127,107,20,1.97,0.486,3,0.64,5.09,0.545,-3.2,0.211,0.435,0.37
Michael Woods II,OKL,WR,74,204,10,,,4.55,,,,,,0.700,0.550,0.800,-5.000,-4.929,,0.563,8.250,,,,,,,71.4,72.6,67.3,,0.652,0.705,,5.5,1.91,11.30,8.3,40,88.1,,0.412,0.265,0.481,,0.4,0.05,0.516,-1.6,4.406,-1.576,3.638,0.500,0.500,,,53.4,,,,,,0.250,-22,-39,62.5,,,,88,93,0,45,45,0,0.51,0.126,0,0.00,3.8,0.373,-3.6,0.167,0.161,0.2
Jalen Nailor,MICHST,WR,72,191,9.625,31.875,,,,,,,,0.500,0.388,0.650,0.543,-4.929,,6.250,8.250,,,,,,,74.7,73.3,66.7,,0.666,0.695,,10.5,2.83,13.20,8.6,0,91.2,,1.000,0.665,0.463,,0.5,0.08,0.516,-0.6,7.250,-0.570,0.500,0.500,0.500,,,65.56,,,,,,1.413,11.15,-18.36,66.67,,,,75,31,53,208,179,29,8.03,1.983,1,0.33,7.33,0.844,1.45,0.728,0.468,0.39
Montrell Washington,SAMF,WR,70,170,9.375,,,4.48,,4.34,39,118,,0.300,0.125,0.550,-5.000,-4.929,,0.650,8.250,0.3,0.8,0.40,,,,,,,,-0.800,-0.417,,,,,,,,,-0.235,-0.565,1.000,,-0.3,0.01,0.516,-1.8,2.082,-1.791,3.690,0.598,0.317,,,48.4,,,,,,0.172,-63,-108.1,44.44,,,,53,52,0,2,2,0,0.04,0.010,0,0.00,3.5,0.333,-9,-0.433,0.419,0.36
Dennis Houston,W.ILLI,WR,72,197,,,,4.63,1.63,,31,119,7.42,0.500,0.463,-3.200,-5.000,-4.929,,0.463,0.100,,0.1,0.43,0.0,,,,,,,-0.800,-0.417,,,,,,,,,-0.235,-0.565,1.000,,-0.3,0.01,0.516,-2.4,0.214,-2.433,0.318,0.279,-0.048,,,54.7,,,,,,0.178,-25,-73.2,33.33,,,,44,48,0,16,16,0,0.36,0.089,0,0.00,3,0.267,-6.2,-0.122,0.274,0.27
Jalen Virgil,APPAST,WR,72,206,,,,4.4,,,,,,0.500,0.575,-3.200,-5.000,-4.929,,0.750,8.250,,,,,,,62.7,38.1,38.6,,-0.038,0.227,,5.4,1.99,17.40,20,20,52.6,,0.400,0.300,-0.250,,0.8,0.01,0.516,-2.4,4.500,-2.411,3.750,0.500,0.500,,,58.5,,,,,,1.581,19,39.7,50,,,,43,43,0,75,75,0,1.74,0.430,0,0.00,21.5,2.733,8.3,1.489,0.129,0.18
Dareke Young,LENOIR,WR,74,224,9.625,33.5,81,4.44,1.58,4.4,38,121,7.15,0.700,0.800,0.650,0.826,0.857,,0.700,0.350,0.2,0.7,0.49,0.3,,,,,,,-0.800,-0.417,,,,,,,,,-0.235,-0.565,1.000,,-0.3,0.01,0.516,0.8,0.456,0.767,0.560,0.599,0.245,,,61.9,,,,,,0.836,12,61.6,100,,,,32,37,0,24,35,0,0.83,0.205,0,0.00,12,1.467,6.7,1.311,0.194,0.22
Lance McCutcheon,MONTST,WR,75,202,10.25,32.5,78.5,4.57,1.58,4.57,36.5,124,7.15,0.800,0.525,0.900,0.652,0.679,,0.538,0.350,-0.1,0.6,0.58,0.3,,,,,,,-0.800,-0.417,,,,,,,,,-0.235,-0.565,1.000,,-0.3,0.01,0.516,0.7,0.376,0.711,0.463,0.580,0.104,,,47.4,,,,,,-0.067,-38,-108.5,0,,,,26,29,0,0,0,0,0.00,0.000,0,0.00,0,-0.133,-9.1,-0.444,0.290,0.28
Danny Gray,SMU,WR,73,186,8.25,31.375,74.125,4.33,,4.36,34,126,7.09,0.600,0.325,0.100,0.457,0.366,,0.838,8.250,0.3,0.4,0.63,0.3,,,77.6,74.5,53.7,,0.690,0.478,,8.6,2.69,10.90,12.5,57.1,133.3,,0.776,0.604,0.219,,0.4,0.06,0.516,0.4,1.787,0.370,3.803,0.504,0.314,,,52.4,,,,,,0.247,-32,-72.2,16.67,,,,26,32,0,10,10,0,0.38,0.094,0,0.00,4,0.400,-8.6,-0.389,0.484,0.4
Braylon Sanders,OMISS,WR,72,194,8.5,31.125,73.75,4.48,1.52,4.39,36,125,7.13,0.500,0.425,0.200,0.413,0.339,,0.650,0.650,0.2,0.5,0.60,0.3,,,62.9,42.6,66.7,,0.052,0.695,,6.2,1.66,20.80,8.3,20,93.8,,0.494,0.157,0.481,,1.1,0.04,0.516,0.4,0.496,0.375,0.650,0.573,0.265,,,48.6,,,,,,0.116,-28,-133.1,66.67,,,,18,19,0,17,17,0,0.94,0.232,0,0.00,1,0.000,-3.3,0.200,0.242,0.25
Daylen Baldwin,MICH,WR,74,212,10.125,33.875,81.75,,,,,,,0.700,0.650,0.850,0.891,0.911,,6.250,8.250,,,,,,,62.8,69.5,58.6,,0.590,0.560,,6.1,2.12,11.40,11.1,0,103.5,,0.482,0.357,0.306,,0.4,0.04,0.516,0.8,7.250,0.800,0.500,0.500,0.500,,,81.2,,,,,,0.551,13,57.9,100,,,,5,5,0,25,25,0,5.00,1.235,0,0.00,0,-0.133,3.5,0.956,0.935,0.68
Samouri Toure,NEBR,WR,74,191,,,,,,,,,,0.700,0.388,-3.200,-5.000,-4.929,,6.250,8.250,,,,,,,,,,,-0.800,-0.417,,,,,,,,,-0.235,-0.565,1.000,,-0.3,0.01,0.516,-2.4,7.250,-2.408,0.500,0.500,0.500,,,0,,,,,,-0.067,0,0,0,,,,0,0,0,0,0,0,0.00,0.000,0,,0,-0.133,0,0.567,-0.161,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison Jr.,OSU,WR,75,209,9.5,31.875,,,,,,,,,,,,,,,,,,,,,,89.6,75.6,69.3,,,,,6.4,3.44,13.10,8.2,43.3,120.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Nabers,LSU,WR,72,200,9.875,31.375,76.125,4.35,,,42,129,,,,,,,,,,,,,,,,93.5,76.6,80,,,,,6.7,3.81,12.50,5.5,47.6,142.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome Odunze,UWASH,WR,75,212,9.25,32.25,76.75,4.45,1.52,4.03,39,124,6.88,,,,,,,,,,,,,,,88.1,40.9,83.7,,,,,5.3,3.09,16.20,3.9,70.8,123.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adonai Mitchell,TEXAS,WR,74,205,9,32.75,,4.34,1.52,,39.5,136,,,,,,,,,,,,,,,,74.7,45.4,86.8,,,,,3,1.79,16.20,2.2,33.3,125.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Thomas Jr.,LSU,WR,75,209,9.75,32.75,79.25,4.33,1.50,,38.5,126,,,,,,,,,,,,,,,,74.5,49.4,69.8,,,,,6.1,2.65,13.70,7.7,58.3,152.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Franklin,OREG,WR,74,176,8.75,31.875,77.25,4.41,1.61,4.31,39,124,6.9,,,,,,,,,,,,,,,88.5,75.9,61.7,,,,,6.8,3.55,13.00,10.5,37.5,150.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladd McConkey,GEOR,WR,72,186,8.625,30.25,72.75,4.39,1.52,,36,124,,,,,,,,,,,,,,,,81.7,71.9,69.5,,,,,6.3,3.62,12.30,7.1,33.3,140.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keon Coleman,FSU,WR,75,213,9.375,32.125,,4.61,1.54,,38,127,,,,,,,,,,,,,,,,72.7,68.7,91.9,,,,,6.2,1.82,12.80,0,33.3,112.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Wilson,UMICH,WR,71,185,9.375,30.375,72.25,4.39,1.52,4.07,,,6.89,,,,,,,,,,,,,,,85.9,73.2,84.5,,,,,3.7,2.97,14.80,2.4,60,143.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Pearsall,FLOR,WR,73,189,9.25,30.875,73.625,4.41,1.57,4.05,42,129,6.64,,,,,,,,,,,,,,,77.8,65.5,86.8,,,,,5.8,2.23,11.00,3,50,116.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Lynn Polk,UWASH,WR,73,203,9.75,31.75,74.5,4.52,1.52,,37.5,129,,,,,,,,,,,,,,,,76.1,49.8,73,,,,,4.4,2.42,14.50,6.8,55,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Lagette,SC,WR,71,221,9,31.875,77.25,4.39,1.54,,40,126,,,,,,,,,,,,,,,,86.9,77.6,88.1,,,,,6.4,3.15,13.80,2.7,47.6,126.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malachi Corley,WKU,WR,71,215,9.125,32.125,75.5,4.46,,,,,,,,,,,,,,,,,,,,82.1,36.9,65.3,,,,,8.6,2.79,5.80,7.4,23.5,117.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Worthy,TEXAS,WR,71,165,8.75,31.125,,4.21,1.49,,41,131,,,,,,,,,,,,,,,,73.4,57,72.9,,,,,6.9,2.31,10.30,6.9,25,100.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jermaine Burton,BAMA,WR,72,196,9.875,31,,4.45,1.53,,38.5,133,,,,,,,,,,,,,,,,84.9,35.8,90.3,,,,,3.8,3.12,20.60,0,58.3,125.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devontez Walker,UNC,WR,74,193,9.125,33.25,79.125,4.36,1.54,4.3,40.5,134,,,,,,,,,,,,,,,,68.3,44.4,72.1,,,,,2.8,2.28,18.20,6.8,58.8,114.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javon Baker,UCF,WR,73,202,9.625,32.25,78,4.54,1.58,,37,121,,,,,,,,,,,,,,,,81.3,73.2,54.6,,,,,7.4,3.03,17.20,12.2,46.2,115.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Wilson,FSU,WR,78,231,10,35.375,84.375,4.52,1.55,4.11,37,128,,,,,,,,,,,,,,,,75.2,72.9,58.3,,,,,3.6,2.61,14.30,11.4,40,99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen McMillan,UWASH,WR,73,197,10,32.125,77.375,4.47,1.53,4.18,37,127,6.94,,,,,,,,,,,,,,,65.5,44.4,43.1,,,,,7.5,2.45,10.10,16.7,0,133.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Washington,UVA,WR,68,191,9.25,30.375,73.25,4.47,1.53,,42.5,126,,,,,,,,,,,,,,,,92.4,79.3,91.3,,,,,6.4,3.15,8.10,2.6,64.7,115.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamari Thrash,LOUS,WR,72,188,8.625,31,75,4.46,1.54,,34,120,7.16,,,,,,,,,,,,,,,79.1,49.3,59.4,,,,,7,2.5,11.60,11.3,21.4,109.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Cowing,UARIZ,WR,68,168,9,29.25,69.25,4.38,1.54,4.32,36,119,7.02,,,,,,,,,,,,,,,74.6,54.2,70.1,,,,,5.7,1.75,5.90,6.8,30.8,107.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ainias Smith,TA&M,WR,69,190,8.5,29,70.5,4.48,,4.27,,,6.86,,,,,,,,,,,,,,,79.5,71.8,88.8,,,,,6.7,2.27,10.40,1.9,55.6,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brenden Rice,USC,WR,74,208,9.625,33,77.5,4.5,1.55,4.32,36.5,119,6.94,,,,,,,,,,,,,,,79.4,43.2,80.3,,,,,5.2,2.75,15.10,4.3,25,136.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahj Washington,USC,WR,70,174,8.375,29.125,70.375,4.52,,4.22,35,122,6.81,,,,,,,,,,,,,,,82.9,74.4,88.4,,,,,9,2.95,10.90,1.9,60,142.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isiah Williams,ILLI,WR,69,182,9.125,30.125,72.75,4.63,1.59,4.13,38,123,6.75,,,,,,,,,,,,,,,80.9,72.2,74.6,,,,,6.7,2.51,8.50,6.8,21.4,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke McCaffrey,RICE,WR,74,198,9.625,30.125,74.625,4.46,1.52,4.02,36,121,6.7,,,,,,,,,,,,,,,84.2,77.4,83.5,,,,,6,2.2,10.90,4.2,60.7,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornelius Johnson,UMICH,WR,75,212,8.625,31.875,76.875,4.44,1.55,4.37,37.5,127,6.93,,,,,,,,,,,,,,,70.8,72.8,59.6,,,,,3.3,1.93,13.20,10.8,87.5,103.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jha'Quan Jackson,TULA,WR,69,188,8.875,30.875,74.875,4.42,1.55,,32,118,,,,,,,,,,,,,,,,74,82.7,58.4,,,,,6.4,2.46,12.10,11.1,37.5,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Rosemy-Jacksaint,GEOR,WR,73,195,10,33,77.75,4.81,4.45,,35,119,7.35,,,,,,,,,,,,,,,74.4,71.7,89.2,,,,,5.1,2.45,12.10,0,55.6,127.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Whittington,TEXAS,WR,73,205,10,30.375,,4.47,,,,,,,,,,,,,,,,,,,,63,73.7,60.1,,,,,5.6,1.45,6.80,8.3,0,103.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Gould,OREGST,WR,68,174,8.875,29.625,69.875,4.39,1.49,4.16,39.5,129,6.94,,,,,,,,,,,,,,,74.1,44,67,,,,,5.8,2.54,13.60,8.3,44.4,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tayvion Robinson,UK,WR,70,191,9.25,31,75.75,4.55,,,32,117,,,,,,,,,,,,,,,,74.1,82.9,63.9,,,,,6,1.91,9.60,9.8,75,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Cephus,UTSA,WR,74,185,9.125,31.625,76,4.62,,4.37,32.5,122,7.12,,,,,,,,,,,,,,,88.4,77.4,92.9,,,,,6.7,2.35,9.50,1.2,27.8,122.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bub Means,PITT,WR,73,212,10.125,33.25,79,4.43,1.55,,39.5,122,,,,,,,,,,,,,,,,72,40.2,78.1,,,,,5.2,2.14,17.70,4.7,50,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lideatrick Griffin,MISSST,WR,70,181,9.125,30.625,73.25,4.43,1.55,4.35,35.5,124,7,,,,,,,,,,,,,,,72.4,78.9,65.5,,,,,8.2,2.25,7.10,9.1,60,106.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zakhari Franklin,OLEMIS,WR,73,185,10.375,33,79,4.49,,,,,,,,,,,,,,,,,,,,55.1,65,74.9,,,,,0.3,0.54,11.80,0,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devaughn Vele,UTAH,WR,76,203,9.75,33.5,,4.47,1.53,,36,126,,,,,,,,,,,,,,,,69.1,73.4,78.9,,,,,3.4,1.81,11.80,4.4,42.9,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
