Name,Team,Position,Height,Weight,Hands,Arm,Span,40yd,10yd,Shuttle,Vertical,Broad,Three Cone,NormHeight,NormWeight,NormHands,NormArm,NormSpan,AVG_Physical,Norm40,Norm10,NormShuttle,NormVert,NormBroad,NormThreeCone,AVG_SpeedAcceleration,AVG_AgilityExplosiveness,RECV,DROP,FUM,normRecV,normDrop,normFum,AVG_Hands,YAC/REC,Y/RR,aDoT,Drop %,CTC %,RTG,SOS,normYAC,normYRR,normDrop,normCTC,normADOT,,normSOS,NormBuild,NormAthletics,NormPhysical,NormSpeed,NormExplosive,NormAgility,,AV+XFP/RR,PFF,normAVXFPRR,normPFF,normAVG,AvgPerf,FINAL_PERM,OtherPerm,DYAR,DVOA,Catch %,normDYAR,normDVOA,normCatch%,RR,RR_2022,RR_2023,Yards,Yards_2022,Yards_2023,YPRR,normYPRR,AV,AV/RR,YAC/R,normYAC,YPTOE,normYPTOE,normXFPRR,XFP/RR
,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,#REF!,-0.235,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson,OHIOST,WR,72,192,9.875,32,76.625,4.38,1.54,4.36,36,123,7.03,0.500,0.400,0.750,0.565,0.545,,0.775,0.550,0.3,0.5,0.55,0.4,,,84.5,82.7,70.5,,0.854,0.758,,6,3,11.60,7.9,61.5,141.7,,0.471,0.739,0.506,,0.4,0.08,0.516,0.6,0.519,0.552,0.685,0.545,0.350,,,79.31,,,,,,0.640,-21.51,-14.05,58.55,,,,1209,595,674,2145,1103,1042,3.56,0.879,15,0.31,4.01,0.401,-1.1,0.444,0.581,0.46
George Pickens,GEORGIA,WR,74,195,8.75,32.25,77.125,4.47,1.50,4.37,33,124,6.89,0.700,0.438,0.300,0.609,0.580,,0.663,0.750,0.3,0.3,0.58,0.6,,,59.1,61,66.7,,0.420,0.695,,9,1.67,-4.00,0,,87.5,,0.824,0.161,1.000,,-0.6,0.07,0.516,0.5,0.522,0.525,0.698,0.434,0.425,,,72.72,,,,,,0.701,173.48,10.4,60.85,,,,1056,580,581,1941,801,1190,3.71,0.916,17,0.40,4.64,0.485,1.2,0.700,0.403,0.35
Alec Pierce,CINCI,WR,75,208,9.25,33,79.125,4.33,1.50,4.28,40.5,129,7.13,0.800,0.600,0.500,0.739,0.723,,0.838,0.750,0.4,0.9,0.72,0.3,,,77.7,73.6,75,,0.672,0.833,,3.8,2.54,16.70,5.9,50,126.6,,0.212,0.539,0.631,,0.8,0.08,0.516,0.7,0.656,0.672,0.803,0.818,0.357,,,58.59,,,,,,0.417,49.31,-3.68,52.14,,,,976,478,605,1107,593,514,2.31,0.570,9,0.23,2.97,0.263,-0.9,0.467,0.274,0.27
Jahan Dotson,PENNST,WR,70,182,9.5,30.625,71.25,4.43,1.53,4.27,36,125,7.21,0.300,0.275,0.600,0.326,0.161,,0.713,0.600,0.4,0.5,0.60,0.2,,,87.2,86.7,91.2,,0.934,1.103,,5.3,2.56,11.30,2.2,41.7,110.4,,0.388,0.548,0.863,,0.4,0.09,0.516,0.3,0.516,0.332,0.668,0.573,0.318,,,64.26,,,,,,0.435,51.28,-2.36,60.43,,,,951,376,635,1041,523,518,2.37,0.585,8,0.21,3.14,0.285,-0.8,0.478,0.290,0.28
Chris Olave,OHIOST,WR,72,188,9.5,31.125,73.5,4.39,1.53,4.25,32,124,7.14,0.500,0.350,0.600,0.413,0.321,,0.763,0.600,0.5,0.2,0.58,0.3,,,79.9,75.5,73.2,,0.710,0.803,,4.2,2.29,14.70,7.1,62.5,121.5,,0.259,0.430,0.556,,0.6,0.06,0.516,0.4,0.483,0.437,0.698,0.392,0.376,,,82.9,,,,,,0.751,164.47,3.58,63.86,,,,934,431,542,2165,1044,1123,4.67,1.153,18,0.48,3.62,0.349,-0.2,0.544,0.629,0.49
Drake London,USC,WR,77,213,9.5,33,79.375,,,,,,,1.000,0.663,0.600,0.739,0.741,,6.250,8.250,,,,,,,91.8,76.4,69,,0.728,0.733,,5.2,3.52,9.20,8.3,65.4,114.3,,0.376,0.965,0.481,,0.3,0.10,0.516,0.7,7.250,0.749,0.500,0.500,0.500,,,81.87,,,,,,0.656,103.44,-1.19,63.23,,,,851,419,485,1771,866,905,4.18,1.032,16,0.47,3.1,0.280,-0.4,0.522,0.629,0.49
Romeo Doubs,NEVA,WR,74,204,10.125,32.875,78.125,4.52,,,,,,0.700,0.550,0.850,0.717,0.652,,0.600,8.250,,,,,,,83.3,82.1,81.9,,0.842,0.948,,4,2.3,13.80,4.8,60,130.6,,0.235,0.435,0.700,,0.6,0.07,0.516,0.7,4.425,0.694,3.660,0.500,0.500,,,66.28,,,,,,0.532,67.42,-5.16,62.73,,,,723,312,555,1099,425,908,3.07,0.758,11,0.38,3.29,0.305,-1.5,0.400,0.516,0.42
Rashid Shaheed,WEBER,WR,72,180,,,,4.35,,,,,,0.500,0.250,-3.200,-5.000,-4.929,,0.813,8.250,,,,,,,,,,,-0.800,-0.417,,,,,,,,,-0.235,-0.565,1.000,,-0.3,0.01,0.516,-2.5,4.531,-2.476,3.788,0.500,0.500,,,72.19,,,,,,0.799,113.92,15.83,66.97,,,,590,188,431,1206,487,719,4.51,1.114,12,0.51,4.64,0.485,3.6,0.967,0.387,0.34
Wan'Dale Robinson,KY,WR,68,178,9.5,27.75,68.75,4.44,1.56,4.29,34.5,122,,0.100,0.225,0.600,-0.174,-0.018,,0.700,0.450,0.4,0.4,0.52,,,,90,81.5,74.3,,0.830,0.822,,5.8,3.44,10.30,6.9,53.3,103.4,,0.447,0.930,0.569,,0.4,0.10,0.516,0.1,0.497,0.147,0.600,0.468,0.400,,,67.95,,,,,,0.677,34.21,-4.59,78.3,,,,501,129,402,752,227,525,3.20,0.790,6,0.30,5.23,0.564,0.55,0.628,0.387,0.34
